Designator,Mid X,Mid Y,Rotation,Layer
AE1,46.815,48.0,0.0,top
C1,2.58,25.74,180.0,top
C10,12.585,38.75,180.0,top
C11,17.665,38.75,180.0,top
C12,22.745,38.75,180.0,top
C13,27.825,38.75,180.0,top
C14,32.905,38.75,180.0,top
C15,43.315,4.23,270.0,top
C16,41.815,38.5,180.0,top
C17,43.815,36.5,0.0,top
C18,38.065,45.5,0.0,top
C19,39.815,38.5,0.0,top
C2,7.505,26.05,180.0,top
C20,39.815,39.5,0.0,top
C21,39.0,27.0,0.0,top
C22,41.88,36.92,270.0,top
C23,47.565,33.25,180.0,top
C24,35.25,33.0,90.0,top
C25,47.565,29.25,180.0,top
C26,45.315,29.75,270.0,top
C27,45.815,34.25,0.0,top
C28,46.84,9.31,90.0,top
C29,42.09,9.31,90.0,top
C3,12.585,26.05,180.0,top
C30,8.065,19.5,90.0,top
C32,12.045,23.35,180.0,top
C33,18.065,20.25,180.0,top
C35,8.085,10.65,90.0,top
C37,12.065,14.5,180.0,top
C38,18.085,11.4,180.0,top
C4,17.665,25.8,180.0,top
C5,22.745,25.8,180.0,top
C6,27.825,26.05,180.0,top
C7,32.905,26.05,180.0,top
C8,2.425,38.75,180.0,top
C9,7.505,38.75,180.0,top
D1,2.555,27.74,180.0,top
D10,2.425,40.5,180.0,top
D11,7.505,40.5,180.0,top
D12,12.585,40.5,180.0,top
D13,17.665,40.5,180.0,top
D14,22.745,40.5,180.0,top
D15,43.265,13.0,180.0,top
D16,40.065,21.82,90.0,top
D18,38.565,14.5,270.0,top
D19,27.825,40.5,180.0,top
D2,7.505,27.8,180.0,top
D20,32.905,40.5,180.0,top
D21,37.0375,39.25,0.0,top
D22,33.315,10.25,180.0,top
D23,13.0,4.75,180.0,top
D26,11.0625,16.5,0.0,top
D27,11.0825,7.65,0.0,top
D3,12.585,27.8,180.0,top
D4,17.665,27.8,180.0,top
D5,22.67,27.8,180.0,top
D6,27.825,27.8,180.0,top
D7,40.065,19.32,270.0,top
D8,39.59,16.82,180.0,top
D9,32.905,27.8,180.0,top
J1,46.065,20.57,90.0,top
J2,21.565,3.5,180.0,top
J3,30.065,4.525,0.0,top
J4,32.815,18.83,0.0,top
J5,3.315,19.75,90.0,top
J6,3.335,10.9,90.0,top
J7,26.555,16.29,0.0,top
L1,43.315,48.0,180.0,top
L3,43.315,37.985,270.0,top
L4,40.41,37.42,0.0,top
L5,45.5,32.67,270.0,top
M1,2.425,32.8,0.0,top
M10,12.585,45.5,0.0,top
M11,17.665,45.5,0.0,top
M12,22.745,45.5,0.0,top
M13,27.825,45.5,0.0,top
M14,32.905,45.5,0.0,top
M2,7.505,32.8,0.0,top
M3,12.585,32.8,0.0,top
M4,17.665,32.8,0.0,top
M5,22.745,32.8,0.0,top
M6,27.825,32.8,0.0,top
M7,32.905,32.8,0.0,top
M8,2.425,45.5,0.0,top
M9,7.505,45.5,0.0,top
R1,38.5,18.0,0.0,top
R10,40.065,45.5,0.0,top
R11,36.815,26.49,270.0,top
R12,35.815,26.5,270.0,top
R13,9.565,19.0,0.0,top
R14,9.565,18.0,180.0,top
R15,9.545,23.35,180.0,top
R16,11.065,18.5,90.0,top
R17,12.565,20.49,90.0,top
R18,12.565,18.5,90.0,top
R19,9.585,10.15,0.0,top
R2,40.25,25.0,270.0,top
R20,9.585,9.15,180.0,top
R21,9.565,14.5,180.0,top
R22,11.085,9.65,90.0,top
R23,12.585,11.64,90.0,top
R24,12.585,9.65,90.0,top
R4,37.065,14.5,270.0,top
R5,37.0375,40.5,0.0,top
R6,14.185,1.75,180.0,top
R7,41.815,46.5,270.0,top
R8,36.065,45.5,0.0,top
R9,35.25,15.5,90.0,top
SW1,38.065,43.0,0.0,top
SW2,38.065,48.0,0.0,top
U1,38.815,4.0,90.0,top
U2,40.565,31.75,0.0,top
U3,44.515,9.42,270.0,top
U4,10.365,21.15,90.0,top
U5,10.385,12.3,90.0,top
Y1,47.565,31.25,270.0,top
